Channel,Reach_ID_bottom,Reach_ID_top
BOVENRIJN,10001,10031
NEDERRIJN,11001,11389
WAAL,12001,12303
MAAS,13001,13407
HOLLANDSCHDIEP,14001,14014
NIEUWEMERWEDE,15001,15062
BENEDENMERWEDE,16001,16050
OUDEMAAS_DORDRECHT,17001,17014
NOORD,18001,18028
NIEUWEMAAS_BOLNES,19001,19016
DORTSEKIL,20001,20031
OUDEMAAS_HEERJANSDAM,21001,21049
HOLLANDSDIEP_HARINGVLIET,22001,22107
HOLLANDSEIJSSEL,23001,23165
NIEUWEMAAS_ROTTERDAM,24001,24061
SPUI,25001,25061
OUDEMAAS_SPIJKENISSE,26001,26027
OUDEMAAS_BOTLEK,27001,27011
NIEUWEWATERWEG,28001,28073
HARTELKANAAL,29001,29069
HARINGVLIET,30001,30044
